date,product_type,price_per_ton,volume_tons,destination_country,market_indicator,price_volatility,exchange_rate_TND_USD
2014-04-10,CITRUS_FRUITS,945.67,30.71,Germany,VOLATILE,0.068,2.761
2014-04-10,WHEAT,376.01,190.54,USA,RISING,0.334,2.971
2014-04-10,WHEAT,257.99,344.24,France,STABLE,0.202,2.982
2014-04-10,PEPPERS,1286.86,252.73,USA,RISING,0.357,3.29
2014-04-10,TOMATOES,603.88,55.8,France,RISING,0.209,3.222
2014-04-13,CITRUS_FRUITS,978.41,251.39,USA,VOLATILE,0.284,3.015
2014-04-16,PEPPERS,1167.03,494.34,Italy,RISING,0.223,3.154
2014-04-17,TOMATOES,784.95,460.47,Saudi Arabia,RISING,0.252,3.034
2014-04-17,DATES,2079.37,226.13,Saudi Arabia,RISING,0.173,3.227
2014-04-18,CITRUS_FRUITS,835.23,152.01,Spain,STABLE,0.218,2.805
2014-04-20,DATES,2783.57,95.6,Saudi Arabia,FALLING,0.36,3.157
2014-04-20,CITRUS_FRUITS,1130.85,66.51,Saudi Arabia,FALLING,0.126,3.162
2014-04-24,WHEAT,359.08,150.6,France,FALLING,0.351,2.908
2014-04-24,PEPPERS,1143.89,382.86,Italy,RISING,0.324,2.93
2014-04-24,TOMATOES,611.98,77.9,Italy,RISING,0.112,2.993
2014-04-24,TOMATOES,712.85,393.5,Germany,STABLE,0.266,2.977
2014-04-24,WHEAT,387.8,301.35,Spain,FALLING,0.352,3.059
2014-05-02,OLIVE_OIL,3041.12,161.88,Italy,STABLE,0.364,3.184
2014-05-07,CITRUS_FRUITS,846.37,361.09,Netherlands,STABLE,0.304,3.352
2014-05-07,OLIVE_OIL,2812.5,356.6,Italy,STABLE,0.335,2.816
2014-05-14,DATES,2228.47,331.52,USA,STABLE,0.068,3.181
2014-05-16,WHEAT,447.97,262.48,Saudi Arabia,RISING,0.268,2.775
2014-05-16,WHEAT,378.96,135.21,Germany,RISING,0.252,2.95
2014-05-19,TOMATOES,694.09,475.56,Saudi Arabia,VOLATILE,0.236,3.121
2014-05-21,DATES,2983.08,423.38,Netherlands,RISING,0.347,2.929
2014-05-26,TOMATOES,725.03,274.6,Netherlands,FALLING,0.104,2.828
2014-05-30,DATES,2542.63,169.67,Spain,VOLATILE,0.378,2.793
2014-05-30,PEPPERS,939.26,407.74,Spain,RISING,0.248,2.955
2014-05-30,TOMATOES,753.29,294.17,Italy,FALLING,0.166,3.201
2014-05-31,PEPPERS,1068.57,303.66,Netherlands,RISING,0.15,3.117
2014-06-06,DATES,2958.57,197.81,France,RISING,0.066,2.99
2014-06-08,PEPPERS,1122.05,140.43,Spain,VOLATILE,0.064,2.888
2014-06-08,OLIVE_OIL,3063.64,310.44,France,VOLATILE,0.188,3.061
2014-06-08,CITRUS_FRUITS,935.91,39.2,France,RISING,0.309,2.975
2014-06-08,DATES,2225.43,130.08,France,RISING,0.244,2.892
2014-06-08,CITRUS_FRUITS,1001.29,325.15,France,RISING,0.148,3.212
2014-06-10,OLIVE_OIL,2500.25,156.52,Germany,VOLATILE,0.071,2.876
2014-06-12,CITRUS_FRUITS,798.34,429.49,USA,RISING,0.346,2.568
2014-06-13,TOMATOES,586.9,287.93,France,RISING,0.179,2.762
2014-06-16,OLIVE_OIL,3427.56,28.14,Spain,VOLATILE,0.114,3.05
2014-06-20,WHEAT,381.78,391.73,Italy,VOLATILE,0.328,3.003
2014-06-22,TOMATOES,656.06,188.83,France,STABLE,0.373,3.383
2014-06-30,WHEAT,297.29,337.73,Germany,RISING,0.342,3.21
2014-06-30,PEPPERS,1005.84,477.95,France,VOLATILE,0.204,3.213
2014-06-30,PEPPERS,1222.84,193.92,Saudi Arabia,RISING,0.379,3.22
2014-06-30,DATES,2033.49,41.44,Netherlands,STABLE,0.305,2.898
2014-07-01,PEPPERS,1225.37,286.08,Germany,STABLE,0.377,3.023
2014-07-01,PEPPERS,953.06,31.2,France,STABLE,0.398,2.98
2014-07-01,DATES,2394.6,512.21,Italy,VOLATILE,0.273,3.074
2014-07-11,WHEAT,320.17,124.28,Netherlands,VOLATILE,0.109,3.151
2014-07-11,OLIVE_OIL,2622.48,375.68,France,FALLING,0.234,2.894
2014-07-11,WHEAT,365.44,92.13,Spain,RISING,0.152,2.761
2014-07-12,PEPPERS,1024.52,118.01,Netherlands,RISING,0.374,2.893
2014-07-12,DATES,2443.03,346.31,Saudi Arabia,STABLE,0.319,3.255
2014-07-14,DATES,2103.63,233.5,France,FALLING,0.376,2.871
2014-07-17,OLIVE_OIL,3071.8,66.35,Saudi Arabia,VOLATILE,0.257,3.03
2014-07-21,TOMATOES,841.32,164.24,USA,VOLATILE,0.134,2.736
2014-07-21,DATES,2270.6,54.29,Spain,STABLE,0.187,3.109
2014-07-25,WHEAT,395.64,308.15,Germany,RISING,0.34,3.028
2014-07-25,TOMATOES,575.23,426.08,Saudi Arabia,RISING,0.381,2.682
2014-07-29,DATES,1961.88,118.45,USA,STABLE,0.357,2.977
2014-07-31,WHEAT,409.79,479.61,Saudi Arabia,STABLE,0.277,2.68
2014-07-31,WHEAT,294.03,379.13,France,VOLATILE,0.192,3.067
2014-08-01,DATES,1842.41,130.23,France,STABLE,0.285,3.288
2014-08-02,PEPPERS,869.44,251.08,Saudi Arabia,VOLATILE,0.222,2.817
2014-08-02,PEPPERS,1110.77,416.33,Italy,RISING,0.163,3.054
2014-08-03,OLIVE_OIL,3644.68,188.16,France,STABLE,0.112,3.022
2014-08-19,PEPPERS,924.72,400.67,Germany,STABLE,0.242,2.977
2014-08-20,PEPPERS,988.62,395.16,Germany,STABLE,0.262,3.13
2014-08-20,CITRUS_FRUITS,863.5,392.12,Germany,FALLING,0.131,2.942
2014-08-21,TOMATOES,782.9,53.0,France,RISING,0.38,2.701
2014-08-21,DATES,2260.91,268.03,France,VOLATILE,0.133,3.064
2014-08-27,OLIVE_OIL,2533.85,75.22,Italy,VOLATILE,0.374,2.947
2014-08-29,DATES,2283.28,442.5,USA,FALLING,0.346,2.945
2014-09-05,CITRUS_FRUITS,783.62,360.6,USA,RISING,0.121,2.838
2014-09-05,CITRUS_FRUITS,905.52,198.12,Italy,STABLE,0.381,3.065
2014-09-06,OLIVE_OIL,2902.29,116.42,Saudi Arabia,VOLATILE,0.081,3.13
2014-09-08,TOMATOES,553.98,405.88,France,FALLING,0.238,3.089
2014-09-12,PEPPERS,1311.04,213.8,USA,FALLING,0.259,3.096
2014-09-20,CITRUS_FRUITS,1060.3,73.99,Germany,FALLING,0.31,2.8
2014-09-20,TOMATOES,787.33,217.93,USA,FALLING,0.188,3.068
2014-09-22,WHEAT,314.17,459.11,France,RISING,0.079,3.109
2014-09-27,CITRUS_FRUITS,980.05,343.28,Spain,VOLATILE,0.199,2.793
2014-09-27,PEPPERS,1109.96,260.13,USA,FALLING,0.137,3.059
2014-09-27,DATES,2422.5,369.42,Netherlands,RISING,0.359,3.072
2014-09-30,CITRUS_FRUITS,1055.59,405.8,Germany,RISING,0.103,3.218
2014-09-30,OLIVE_OIL,2799.04,389.5,Spain,VOLATILE,0.258,2.737
2014-09-30,OLIVE_OIL,2241.87,495.0,Germany,FALLING,0.224,2.804
2014-10-05,TOMATOES,663.46,399.09,Italy,STABLE,0.144,3.149
2014-10-05,WHEAT,258.01,400.14,Germany,STABLE,0.381,2.838
2014-10-08,TOMATOES,805.1,331.5,France,STABLE,0.364,2.584
2014-10-09,WHEAT,351.87,75.53,Germany,FALLING,0.241,2.822
2014-10-10,WHEAT,325.22,432.29,France,FALLING,0.324,2.861
2014-10-10,TOMATOES,692.17,242.31,Saudi Arabia,STABLE,0.308,2.869
2014-10-13,DATES,2513.24,200.42,France,RISING,0.3,3.016
2014-10-13,PEPPERS,1183.35,396.0,Italy,STABLE,0.253,3.445
2014-10-14,DATES,1858.32,232.49,USA,STABLE,0.182,2.842
2014-10-14,WHEAT,310.92,350.95,France,STABLE,0.186,3.194
2014-10-14,WHEAT,367.44,127.56,Italy,FALLING,0.083,3.04
2014-10-15,CITRUS_FRUITS,1108.17,369.02,USA,STABLE,0.39,2.756
2014-10-18,TOMATOES,521.63,414.0,France,RISING,0.252,2.871
2014-10-23,OLIVE_OIL,3063.53,163.79,Saudi Arabia,RISING,0.169,2.866
2014-10-23,PEPPERS,1009.75,332.42,Netherlands,STABLE,0.3,3.269
2014-10-23,DATES,2737.65,188.08,Germany,STABLE,0.289,2.919
2014-10-23,OLIVE_OIL,3797.35,448.2,Spain,VOLATILE,0.347,2.959
2014-10-23,TOMATOES,604.62,230.3,Netherlands,RISING,0.081,2.577
2014-10-24,PEPPERS,1284.59,58.61,France,FALLING,0.234,3.107
2014-10-30,WHEAT,359.78,360.54,Italy,STABLE,0.246,3.372
2014-10-30,DATES,1997.93,401.41,Saudi Arabia,FALLING,0.088,3.205
2014-11-03,DATES,3231.16,85.72,Spain,FALLING,0.195,3.07
2014-11-09,OLIVE_OIL,2158.9,114.43,USA,VOLATILE,0.083,2.929
2014-11-13,TOMATOES,670.02,209.69,Spain,STABLE,0.352,3.424
2014-11-13,PEPPERS,1362.62,503.18,Italy,VOLATILE,0.319,2.917
2014-11-17,TOMATOES,612.15,482.4,Saudi Arabia,VOLATILE,0.115,3.124
2014-11-17,PEPPERS,1178.15,454.59,Spain,STABLE,0.163,2.747
2014-11-18,WHEAT,375.83,60.18,USA,VOLATILE,0.272,3.105
2014-11-18,OLIVE_OIL,2289.9,205.31,USA,FALLING,0.333,2.943
2014-11-20,DATES,1731.42,477.77,Spain,RISING,0.172,2.854
2014-11-20,CITRUS_FRUITS,739.35,371.61,Italy,RISING,0.24,3.142
2014-11-21,WHEAT,268.4,360.92,Netherlands,RISING,0.159,2.724
2014-11-22,TOMATOES,570.06,43.26,Netherlands,RISING,0.17,3.079
2014-11-22,DATES,2731.61,76.79,Saudi Arabia,RISING,0.08,2.896
2014-11-26,TOMATOES,539.76,170.17,Spain,VOLATILE,0.17,2.958
2014-11-27,TOMATOES,763.83,74.96,Netherlands,VOLATILE,0.075,2.623
2014-11-27,OLIVE_OIL,2317.58,112.84,USA,VOLATILE,0.138,2.857
2014-11-28,DATES,2015.18,318.55,Germany,VOLATILE,0.295,2.88
2014-12-01,TOMATOES,806.56,424.98,Germany,FALLING,0.208,3.371
2014-12-01,PEPPERS,1141.32,270.26,Italy,VOLATILE,0.342,3.12
2014-12-01,WHEAT,308.12,108.68,Spain,STABLE,0.216,3.166
2014-12-05,PEPPERS,1170.96,376.83,Netherlands,VOLATILE,0.342,3.031
2014-12-05,WHEAT,289.52,461.02,France,RISING,0.095,2.745
2014-12-05,TOMATOES,610.13,413.81,France,RISING,0.217,3.18
2014-12-07,PEPPERS,951.66,120.1,Netherlands,FALLING,0.267,3.141
2014-12-07,WHEAT,287.02,70.03,USA,VOLATILE,0.18,3.231
2014-12-07,PEPPERS,1213.85,214.54,Netherlands,FALLING,0.2,3.307
2014-12-22,OLIVE_OIL,2941.01,31.8,France,FALLING,0.386,2.982
2014-12-22,OLIVE_OIL,3233.15,335.97,USA,FALLING,0.081,2.762
2014-12-22,PEPPERS,945.65,195.32,Germany,FALLING,0.152,3.107
2014-12-23,CITRUS_FRUITS,786.68,33.58,Italy,FALLING,0.067,3.126
2014-12-25,CITRUS_FRUITS,724.96,296.18,Saudi Arabia,STABLE,0.194,3.09
2014-12-26,CITRUS_FRUITS,945.37,463.04,Italy,VOLATILE,0.174,2.755
2014-12-26,PEPPERS,819.89,40.72,France,STABLE,0.338,3.12
2014-12-26,OLIVE_OIL,2311.38,49.04,USA,RISING,0.084,2.898
2014-12-26,OLIVE_OIL,3309.34,504.05,Netherlands,STABLE,0.311,2.892
2014-12-28,PEPPERS,1061.05,164.86,Netherlands,RISING,0.149,3.188
2014-12-30,WHEAT,272.89,263.4,Saudi Arabia,FALLING,0.285,3.09
2015-01-05,WHEAT,407.85,294.26,Spain,RISING,0.097,2.943
2015-01-06,DATES,1691.75,399.2,Spain,FALLING,0.258,3.057
2015-01-08,TOMATOES,749.27,268.05,Spain,RISING,0.159,3.067
2015-01-08,CITRUS_FRUITS,668.72,89.3,Italy,VOLATILE,0.381,3.055
2015-01-10,DATES,1902.69,476.71,USA,STABLE,0.306,2.956
2015-01-10,OLIVE_OIL,3359.39,405.66,USA,RISING,0.133,3.402
2015-01-12,PEPPERS,1022.61,500.68,USA,VOLATILE,0.149,3.011
2015-01-13,DATES,2171.01,439.36,France,VOLATILE,0.303,2.901
2015-01-13,WHEAT,292.72,378.46,Netherlands,STABLE,0.197,2.898
2015-01-14,CITRUS_FRUITS,816.86,343.1,Saudi Arabia,RISING,0.158,3.127
2015-01-18,TOMATOES,803.59,108.55,Italy,STABLE,0.064,3.032
2015-01-22,TOMATOES,731.79,515.44,France,RISING,0.339,2.972
2015-01-25,CITRUS_FRUITS,848.12,353.21,USA,RISING,0.095,2.761
2015-01-26,PEPPERS,910.92,443.45,Netherlands,VOLATILE,0.213,2.97
2015-01-26,DATES,1826.29,329.61,Saudi Arabia,VOLATILE,0.155,2.983
2015-02-01,OLIVE_OIL,3106.26,419.75,Spain,RISING,0.211,2.862
2015-02-01,TOMATOES,890.74,94.64,Italy,STABLE,0.24,2.78
2015-02-02,PEPPERS,885.17,317.6,Germany,STABLE,0.266,2.701
2015-02-03,PEPPERS,1065.39,221.96,USA,VOLATILE,0.293,2.816
2015-02-03,TOMATOES,610.08,83.33,Saudi Arabia,STABLE,0.28,3.061
2015-02-03,TOMATOES,784.51,243.68,Germany,VOLATILE,0.094,3.197
2015-02-05,OLIVE_OIL,3542.2,135.95,Saudi Arabia,FALLING,0.308,2.959
2015-02-09,OLIVE_OIL,3296.32,431.48,Saudi Arabia,VOLATILE,0.327,2.725
2015-02-10,PEPPERS,1396.22,59.51,Spain,RISING,0.261,2.722
2015-02-10,WHEAT,382.73,161.4,Spain,VOLATILE,0.103,2.749
2015-02-10,DATES,2098.95,308.22,Germany,FALLING,0.114,3.127
2015-02-16,WHEAT,302.63,356.2,Netherlands,FALLING,0.27,2.925
2015-02-16,WHEAT,324.45,424.27,France,RISING,0.206,3.162
2015-02-17,DATES,2709.18,175.62,USA,FALLING,0.158,3.112
2015-02-18,WHEAT,368.71,34.48,Germany,FALLING,0.101,2.969
2015-02-18,DATES,1858.85,317.96,Spain,RISING,0.1,3.298
2015-02-18,CITRUS_FRUITS,1047.37,223.35,Saudi Arabia,STABLE,0.226,3.194
2015-02-19,WHEAT,251.98,168.85,Saudi Arabia,RISING,0.203,2.926
2015-03-01,WHEAT,366.52,343.15,Germany,VOLATILE,0.193,3.255
2015-03-01,OLIVE_OIL,2639.44,94.66,France,FALLING,0.319,3.119
2015-03-04,WHEAT,272.7,482.22,Italy,RISING,0.271,2.795
2015-03-07,OLIVE_OIL,3544.7,462.16,Germany,RISING,0.17,3.033
2015-03-07,OLIVE_OIL,2838.99,327.95,Spain,FALLING,0.164,2.617
2015-03-11,WHEAT,347.43,387.38,Italy,STABLE,0.251,2.641
2015-03-12,CITRUS_FRUITS,722.41,507.1,Germany,STABLE,0.279,2.828
2015-03-12,WHEAT,336.41,286.53,France,FALLING,0.341,3.109
2015-03-12,CITRUS_FRUITS,866.25,85.34,Germany,FALLING,0.237,3.274
2015-03-12,WHEAT,394.91,78.83,France,FALLING,0.149,3.337
2015-03-12,OLIVE_OIL,2894.88,423.6,Spain,FALLING,0.321,3.1
2015-03-13,PEPPERS,1104.54,122.96,Germany,FALLING,0.397,2.961
2015-03-13,CITRUS_FRUITS,996.13,76.94,Spain,RISING,0.153,2.941
2015-03-13,CITRUS_FRUITS,796.6,159.58,Spain,RISING,0.158,3.098
2015-03-14,OLIVE_OIL,3318.0,484.2,USA,STABLE,0.119,2.998
2015-03-14,PEPPERS,1429.19,209.27,USA,RISING,0.227,2.672
2015-03-15,OLIVE_OIL,2746.54,362.18,Saudi Arabia,FALLING,0.158,3.114
2015-03-15,WHEAT,380.79,25.75,France,FALLING,0.235,3.095
2015-03-19,TOMATOES,588.42,208.59,Spain,RISING,0.29,3.097
2015-03-19,PEPPERS,963.13,98.79,Italy,STABLE,0.238,2.923
2015-03-19,WHEAT,421.99,298.62,Saudi Arabia,RISING,0.2,2.986
2015-03-20,OLIVE_OIL,3562.71,198.9,Saudi Arabia,VOLATILE,0.239,2.703
2015-03-20,PEPPERS,1038.32,353.66,Saudi Arabia,VOLATILE,0.186,2.86
2015-03-22,TOMATOES,700.08,452.1,France,FALLING,0.306,3.159
2015-03-22,TOMATOES,551.45,217.47,Germany,VOLATILE,0.265,3.02
2015-03-22,TOMATOES,655.06,127.49,Spain,RISING,0.148,2.819
2015-03-25,CITRUS_FRUITS,877.79,165.35,France,FALLING,0.33,3.106
2015-03-28,CITRUS_FRUITS,843.91,340.75,Netherlands,STABLE,0.262,3.114
2015-03-28,OLIVE_OIL,3637.71,435.94,Italy,VOLATILE,0.181,3.061
2015-03-31,TOMATOES,849.14,66.27,Italy,RISING,0.107,3.259
2015-03-31,CITRUS_FRUITS,923.09,46.96,Saudi Arabia,RISING,0.305,2.9
2015-03-31,DATES,1701.36,100.04,Italy,FALLING,0.262,3.244
2015-03-31,WHEAT,315.07,400.11,Spain,FALLING,0.272,2.894
2015-04-01,PEPPERS,1301.53,353.12,Spain,FALLING,0.152,3.178
2015-04-02,WHEAT,364.14,39.86,France,RISING,0.36,3.41
2015-04-02,DATES,1999.43,391.55,France,FALLING,0.385,3.035
2015-04-02,TOMATOES,804.49,294.84,Netherlands,STABLE,0.209,2.995
2015-04-05,TOMATOES,845.82,399.64,Germany,VOLATILE,0.264,3.413
2015-04-05,TOMATOES,566.04,261.13,Netherlands,STABLE,0.348,2.983
2015-04-06,CITRUS_FRUITS,818.84,210.81,USA,RISING,0.162,3.001
2015-04-06,WHEAT,359.49,222.16,Netherlands,FALLING,0.065,2.948
2015-04-06,TOMATOES,631.48,69.57,USA,STABLE,0.204,3.187
2015-04-07,TOMATOES,648.3,242.76,France,FALLING,0.269,3.339
2015-04-07,OLIVE_OIL,2668.7,358.13,USA,VOLATILE,0.273,3.103
2015-04-10,WHEAT,374.6,160.78,Netherlands,RISING,0.356,2.768
2015-04-10,CITRUS_FRUITS,742.01,78.51,Spain,VOLATILE,0.193,3.102
2015-04-13,PEPPERS,842.05,74.95,USA,RISING,0.359,2.938
2015-04-13,WHEAT,414.63,336.83,Spain,STABLE,0.296,3.073
2015-04-13,DATES,2446.04,315.05,Spain,VOLATILE,0.343,3.21
2015-04-13,WHEAT,328.03,412.71,Netherlands,FALLING,0.079,3.264
2015-04-14,CITRUS_FRUITS,904.36,295.89,Netherlands,VOLATILE,0.319,2.916
2015-04-16,WHEAT,300.76,124.95,USA,FALLING,0.246,2.85
2015-04-19,PEPPERS,1323.09,342.23,Italy,RISING,0.111,3.161
2015-04-24,TOMATOES,449.03,211.82,France,STABLE,0.146,3.083
2015-04-25,PEPPERS,882.7,494.32,Saudi Arabia,STABLE,0.237,3.31
2015-04-26,DATES,2613.74,53.35,Germany,RISING,0.121,2.954
2015-04-26,CITRUS_FRUITS,859.57,432.92,Italy,FALLING,0.384,3.0
2015-04-26,WHEAT,316.13,266.01,Saudi Arabia,FALLING,0.297,3.094
2015-04-26,DATES,2266.66,121.02,Germany,VOLATILE,0.328,3.345
2015-04-26,OLIVE_OIL,3177.01,401.85,Netherlands,FALLING,0.226,2.908
2015-04-27,DATES,2414.84,491.49,Germany,VOLATILE,0.235,2.914
2015-04-28,CITRUS_FRUITS,634.0,122.24,Netherlands,RISING,0.266,2.961
2015-04-30,OLIVE_OIL,3409.96,445.25,Germany,STABLE,0.172,2.732
2015-05-03,CITRUS_FRUITS,722.71,229.43,Spain,VOLATILE,0.159,3.073
2015-05-04,CITRUS_FRUITS,1027.62,332.54,USA,RISING,0.146,3.066
2015-05-04,TOMATOES,742.12,275.28,Italy,RISING,0.382,3.003
2015-05-04,OLIVE_OIL,2578.51,230.47,Germany,VOLATILE,0.217,2.918
2015-05-05,DATES,2169.93,332.4,USA,FALLING,0.375,3.155
2015-05-06,DATES,2672.62,218.03,Italy,FALLING,0.114,3.026
2015-05-06,CITRUS_FRUITS,802.24,254.34,USA,STABLE,0.3,2.663
2015-05-07,WHEAT,255.4,70.54,France,FALLING,0.283,3.124
2015-05-08,DATES,3232.68,317.42,USA,VOLATILE,0.21,2.582
2015-05-08,OLIVE_OIL,2818.32,86.12,Spain,STABLE,0.085,3.19
2015-05-10,DATES,2581.73,446.82,Saudi Arabia,VOLATILE,0.318,2.722
2015-05-21,WHEAT,278.15,361.82,Saudi Arabia,VOLATILE,0.32,3.233
2015-05-22,PEPPERS,672.41,75.09,Germany,RISING,0.136,2.818
2015-05-22,PEPPERS,1108.64,481.98,Italy,RISING,0.297,3.038
2015-05-24,TOMATOES,617.43,157.36,USA,VOLATILE,0.165,2.88
2015-05-29,OLIVE_OIL,2840.25,259.8,Spain,FALLING,0.084,2.713
2015-05-30,CITRUS_FRUITS,871.06,438.62,Germany,FALLING,0.323,3.076
